13980	2023.05.25	12:44:34.464	3	152	85EDFF1904
13981	2023.05.25	12:44:37.017	3	50	85EDFF1904
13982	2023.05.25	12:44:37.324	4	50	85EDFF1904
13983	2023.05.25	12:44:39.138	5	359	85EDFF1904
13984	2023.05.25	12:44:40.042	6	204	85EDFF1904
13985	2023.05.25	12:47:11.963	5	307	A4939C1A04
13986	2023.05.25	12:47:13.550	6	410	A4939C1A04
13987	2023.05.25	12:50:12.510	5	359	7376E61A04
13988	2023.05.25	12:50:13.561	6	204	7376E61A04
13989	2023.05.25	12:50:16.594	6	255	85EDFF1904
13990	2023.05.25	12:50:17.333	5	153	85EDFF1904
13991	2023.05.25	12:50:32.162	4	153	85EDFF1904
13992	2023.05.25	12:50:32.652	3	153	85EDFF1904
13993	2023.05.25	12:50:33.951	7	153	A4939C1A04
13994	2023.05.25	12:50:34.649	8	153	A4939C1A04
13995	2023.05.25	12:51:05.710	1	50	A4939C1A04
13996	2023.05.25	12:51:06.111	2	50	A4939C1A04
13997	2023.05.25	12:51:05.852	8	308	956BA81904
13998	2023.05.25	12:51:06.872	7	410	956BA81904
13999	2023.05.25	12:51:26.261	6	616	352DE61A04
14000	2023.05.25	12:51:28.034	5	512	352DE61A04
14001	2023.05.25	12:51:42.558	4	153	352DE61A04
14002	2023.05.25	12:51:43.097	3	255	352DE61A04
14003	2023.05.25	12:51:58.709	7	204	7376E61A04
14004	2023.05.25	12:51:59.459	8	204	7376E61A04
14005	2023.05.25	12:52:05.160	1	153	7376E61A04
14006	2023.05.25	12:52:05.467	2	255	325CE61A04
14007	2023.05.25	12:52:06.048	2	615	325CE61A04
14008	2023.05.25	12:52:06.755	2	256	7376E61A04
14009	2023.05.25	12:52:07.201	2	102	7376E61A04
14010	2023.05.25	12:52:13.819	3	204	325CE61A04
14011	2023.05.25	12:52:14.508	4	204	325CE61A04
14012	2023.05.25	12:53:05.513	3	102	A4939C1A04
14013	2023.05.25	12:53:06.111	4	101	A4939C1A04
14014	2023.05.25	12:53:22.833	3	101	352DE61A04
14015	2023.05.25	12:53:23.027	3	50	7376E61A04
14016	2023.05.25	12:53:23.169	4	101	352DE61A04
14017	2023.05.25	12:53:23.357	4	105	7376E61A04
14018	2023.05.25	12:53:23.900	5	101	352DE61A04
14019	2023.05.25	12:53:24.099	5	50	7376E61A04
14020	2023.05.25	12:53:24.199	6	103	352DE61A04
14021	2023.05.25	12:53:24.436	6	50	7376E61A04
14022	2023.05.25	12:53:55.378	6	256	7376E61A04
14023	2023.05.25	12:53:56.559	5	255	7376E61A04
14024	2023.05.25	12:54:07.701	4	153	7376E61A04
14025	2023.05.25	12:54:08.338	3	204	7376E61A04
14026	2023.05.25	12:56:01.093	6	513	0627A81904
14027	2023.05.25	12:56:02.916	5	1384	0627A81904
14028	2023.05.25	12:56:07.117	4	101	0627A81904
14029	2023.05.25	12:56:07.507	3	101	0627A81904
14030	2023.05.25	12:56:52.772	2	205	7376E61A04
14031	2023.05.25	12:56:53.351	1	153	7376E61A04
14032	2023.05.25	12:57:00.000	8	152	7376E61A04
14033	2023.05.25	12:57:00.636	7	102	7376E61A04
14034	2023.05.25	12:57:39.633	6	205	7376E61A04
14035	2023.05.25	12:57:40.328	5	144	7376E61A04
14036	2023.05.25	12:58:17.826	2	307	0627A81904
14037	2023.05.25	12:58:18.662	1	307	0627A81904
14038	2023.05.25	12:58:28.479	8	307	0627A81904
14039	2023.05.25	12:58:29.166	7	461	0627A81904
14040	2023.05.25	12:58:45.830	7	615	352DE61A04
14041	2023.05.25	12:58:48.191	8	513	352DE61A04
14042	2023.05.25	12:59:12.648	7	358	9A44E61A04
14043	2023.05.25	12:59:13.336	7	91	0627A81904
14044	2023.05.25	12:59:13.476	8	205	9A44E61A04
14045	2023.05.25	12:59:13.877	8	307	0627A81904
14046	2023.05.25	12:59:14.815	1	102	9A44E61A04
14047	2023.05.25	12:59:15.253	2	153	9A44E61A04
14048	2023.05.25	12:59:24.898	8	255	352DE61A04
14049	2023.05.25	12:59:25.982	1	104	0627A81904
14050	2023.05.25	12:59:25.814	7	669	352DE61A04
14051	2023.05.25	12:59:28.205	7	358	352DE61A04
14052	2023.05.25	12:59:42.079	2	564	0627A81904
14053	2023.05.25	12:59:44.280	1	564	0627A81904
14054	2023.05.25	12:59:47.361	2	513	85EDFF1904
14055	2023.05.25	12:59:48.781	1	307	85EDFF1904
14056	2023.05.25	12:59:56.649	8	358	0627A81904
14057	2023.05.25	12:59:58.545	7	307	0627A81904
14058	2023.05.25	13:00:00.666	8	307	85EDFF1904
